không thích món này	refine_search
hướng dẫn chi tiết món này nha	ask_recipe_detail
lên thực đơn tiệc: ba chỉ, đi làm về muộn, 2 người đi	search_recipe
đặt mua đồ về nấu	add_ingredients_to_cart
chi phí cho phần lớn người	ask_price_estimate
gợi ý nêm nếm gia vị ra sao nha	ask_recipe_detail
gợi ý xin chào với	fallback
lấy đủ nguyên liệu cho món này	add_ingredients_to_cart
tìm giúp thời tiết thế nào nhé	fallback
mình muốn đặt mua đồ về nấu cho hợp lý	add_ingredients_to_cart
hướng dẫn chi tiết món này nào ngon	ask_recipe_detail
ăn gì bữa sáng vừa ít béo vừa sang trọng	search_recipe
đang ở đâu	fallback
ê đổi sang món canh chua được không	refine_search
có món nào không có hành ngò không	refine_search
món nhậu từ lẩu kho	search_recipe
gợi ý có món nào không có khoai tây không gấp	refine_search
gợi ý xin chào gấp	fallback
gợi ý món cơm gà rim với	search_recipe
hướng dẫn chi tiết món này	ask_recipe_detail
ăn gì bữa tối vừa chay vừa 200k	search_recipe
hôm nay ăn gì nhé	search_recipe
món ba chỉ rim nha	search_recipe
lấy đủ nguyên liệu cho món này nhé	add_ingredients_to_cart
mấy giờ rồi	fallback
món trứng rim với	search_recipe
tìm giúp làm sao cho sườn giòn nào ngon	ask_recipe_detail
món này hết bao nhiêu tiền nha	ask_price_estimate
đang cần hôm nay ăn gì nào ngon	search_recipe
tổng thiệt hại là bao nhiêu nhé	ask_price_estimate
gợi ý ngân sách sang trọng đủ nấu không	ask_price_estimate
hát đi với	fallback
đang cần cho hết vào giỏ hàng đi	add_ingredients_to_cart
đang cần đặt mua đồ về nấu	add_ingredients_to_cart
gợi ý đang ở đâu	fallback
đang cần cần mua những gì thì thêm vào giỏ giúp	add_ingredients_to_cart
nhà còn biết ông a không	fallback
bí quyết nấu ngon nhé	ask_recipe_detail
ê lấy đủ nguyên liệu cho món này đi	add_ingredients_to_cart
nấu gì với bí xanh	search_recipe
đang cần tổng thiệt hại là bao nhiêu gấp	ask_price_estimate
thời tiết thế nào	fallback
gợi ý món này hết bao nhiêu tiền	ask_price_estimate
tìm giúp mấy giờ rồi nha	fallback
ngu quá nhé	fallback
ê chi phí cho 2 người người	ask_price_estimate
nhà còn bạn tên gì đi	fallback
bạn ơi bước 1 là gì	ask_recipe_detail
bạn ơi ăn gì bữa trưa vừa healthy vừa tiết kiệm	search_recipe
hôm nay ăn gì cho hợp lý	search_recipe
nhà còn xin chào với	fallback
tìm giúp cần mua những gì thì thêm vào giỏ giúp gấp	add_ingredients_to_cart
gợi ý thời tiết thế nào	fallback
đề xuất món hấp, nguyên liệu có sẵn, hợp bữa trưa nào ngon	search_recipe
nêm nếm gia vị ra sao	ask_recipe_detail
xin chào	fallback
tìm giúp hôm nay ăn gì	search_recipe
đề xuất món cơm gà kho	search_recipe
hát đi	fallback
tìm giúp chỉ mình cách nấu đi gấp	ask_recipe_detail
tìm giúp ngu quá	fallback
gợi ý mình muốn 1 set trứng + dưa leo nào ngon	search_recipe
ê hát đi nhé	fallback
gợi ý đề xuất món xào, ít dọn dẹp, hợp bữa tối với	search_recipe
đề xuất món nướng, lười nấu, hợp cơm văn phòng với	search_recipe
mình muốn đổi món hấp hơn	refine_search
ê tư vấn thực đơn chay có cá gấp	search_recipe
nhà còn combo tôm và ớt cho gia đình	search_recipe
có món nào không tốn thời gian mà ngon không	search_recipe
món bắp bò hấp nào ngon	search_recipe
tìm giúp lấy đủ nguyên liệu cho món này đi	add_ingredients_to_cart
hôm nay ăn gì nha	search_recipe
mình muốn cần mua những gì thì thêm vào giỏ giúp	add_ingredients_to_cart
mấy giờ rồi đi	fallback
đang ở đâu cho hợp lý	fallback
tổng thiệt hại là bao nhiêu nha	ask_price_estimate
tìm giúp món này hết bao nhiêu tiền	ask_price_estimate
bạn ơi ăn thế này có đắt không	ask_price_estimate
lên thực đơn bữa tối: cơm gà, 30 phút, 2 người	search_recipe
tìm giúp đổi món xào hơn	refine_search
đang cần tìm món bắp bò hấp ăn cơm hộp	search_recipe
có món nào không có rau xà lách không nha	refine_search
bạn ơi nêm nếm gia vị ra sao nhé	ask_recipe_detail
đề xuất thời tiết thế nào với	fallback
món nhậu từ mực chiên	search_recipe
đề xuất chỉ mình cách nấu đi đi	ask_recipe_detail
mình muốn mua giúp mình nguyên liệu	add_ingredients_to_cart
tìm món khác đi với	refine_search
món này hết bao nhiêu tiền nào ngon	ask_price_estimate
ê ngân sách không quan trọng tiền đủ nấu không gấp	ask_price_estimate
tư vấn thực đơn giảm cân có cơm gà với	search_recipe
ngân sách tiết kiệm đủ nấu không	ask_price_estimate
gợi ý cần mua những gì thì thêm vào giỏ giúp nào ngon	add_ingredients_to_cart
gợi ý tìm món phở luộc ăn bữa tối đi	search_recipe
mình muốn 1 set cá + ớt	search_recipe
tìm giúp mấy giờ rồi với	fallback
thời tiết thế nào nhé	fallback
đề xuất bước 1 là gì với	ask_recipe_detail
cho hết vào giỏ hàng đi nào ngon	add_ingredients_to_cart
bí quyết nấu ngon	ask_recipe_detail
tìm món khác đi cho hợp lý	refine_search
ê cần mua những gì thì thêm vào giỏ giúp	add_ingredients_to_cart
mình muốn không thích món này nào ngon	refine_search
bạn ơi ăn gì cơm văn phòng vừa giảm cân vừa 200k	search_recipe
đề xuất đang ở đâu với	fallback
đang cần đổi món luộc hơn	refine_search
đang cần đổi sang món bắp bò được không nhé	refine_search
mình muốn làm sao cho món cuốn giòn nha	ask_recipe_detail
đề xuất món xào, muốn đổi gió, hợp cơm văn phòng với	search_recipe
mấy giờ rồi nào ngon	fallback
đang cần chi phí cho nhóm bạn người với	ask_price_estimate
tìm giúp làm sao cho món cuốn giòn nha	ask_recipe_detail
nhà còn thời tiết thế nào	fallback
thực đơn ít người người, giá tiết kiệm với	search_recipe
bí quyết nấu ngon với	ask_recipe_detail
thực đơn gia đình người, giá tiết kiệm	search_recipe
biết ông a không nha	fallback
đề xuất bước 1 là gì nha	ask_recipe_detail
ê biết ông a không	fallback
đề xuất có món nào không có hành tây không	refine_search
gợi ý ăn gì cơm văn phòng vừa healthy vừa bình dân cho hợp lý	search_recipe
mình muốn cần mua những gì thì thêm vào giỏ giúp nha	add_ingredients_to_cart
đề xuất tìm món tôm chiên ăn tiệc	search_recipe
thời tiết thế nào đi	fallback
món nhậu từ cá lóc đậm đà nào ngon	search_recipe
tìm giúp món nhậu từ phở chiên đi	search_recipe
nấu gì với tỏi gấp	search_recipe
hôm nay ăn gì	search_recipe
nhà còn đề xuất món rim, muốn đổi gió, hợp bữa tối đi	search_recipe
bạn ơi bước 1 là gì với	ask_recipe_detail
hôm nay ăn gì đi	search_recipe
gợi ý tổng thiệt hại là bao nhiêu	ask_price_estimate
bước 1 là gì	ask_recipe_detail
ê đề xuất món hấp, mới đi chợ về, hợp cơm văn phòng nha	search_recipe
chi phí cho suất đôi người	ask_price_estimate
xin chào gấp	fallback
bạn ơi hướng dẫn chi tiết món này nào ngon	ask_recipe_detail
nhà còn ăn gì tiệc vừa nhiều rau vừa sang trọng nào ngon	search_recipe
nhà còn hôm nay ăn gì	search_recipe
gợi ý lên thực đơn bữa xế: cá, 15 phút, phần lớn đi	search_recipe
nhà còn tìm món khác đi	refine_search
đề xuất đề xuất món rim, nguyên liệu có sẵn, hợp tiệc	search_recipe
món nhậu từ bò chiên giòn	search_recipe
tư vấn thực đơn giảm cân có cá	search_recipe
bạn ơi nêm nếm gia vị ra sao với	ask_recipe_detail
đề xuất hướng dẫn chi tiết món này cho hợp lý	ask_recipe_detail
tìm giúp thực đơn phần lớn người, giá 50k	search_recipe
đổi sang món cơm gà được không	refine_search
bạn ơi có món nào đi làm về muộn mà ngon không	search_recipe
biết ông a không nhé	fallback
ê chi phí cho suất đôi người nào ngon	ask_price_estimate
thực đơn cả nhà người, giá 50k	search_recipe
món nhậu từ trứng chua ngọt với	search_recipe
nấu gì với rau muống đi	search_recipe
bạn ơi mấy giờ rồi	fallback
bạn tên gì nha	fallback
tìm món kiểu đậm đà cho cơm hộp phần lớn	search_recipe
mình muốn thực đơn gia đình người, giá sang trọng nào ngon	search_recipe
đổi món luộc hơn	refine_search
tìm giúp tìm món heo chiên ăn bữa trưa	search_recipe
tổng thiệt hại là bao nhiêu cho hợp lý	ask_price_estimate
tìm giúp bạn tên gì nhé	fallback
đang cần cho hết vào giỏ hàng đi đi	add_ingredients_to_cart
đang cần tìm món khác đi	refine_search
nhà còn món này hết bao nhiêu tiền	ask_price_estimate
bạn ơi tổng thiệt hại là bao nhiêu	ask_price_estimate
làm sao cho cơm gà giòn	ask_recipe_detail
bạn ơi tổng thiệt hại là bao nhiêu với	ask_price_estimate
chi phí cho 1 người người nha	ask_price_estimate
nhà còn đề xuất món chiên, ít dọn dẹp, hợp bữa tối đi	search_recipe
nhà còn ăn thế này có đắt không	ask_price_estimate
đề xuất lên thực đơn cơm hộp: salad, cấp tốc, ít người gấp	search_recipe
đang cần chi phí cho phần lớn người nha	ask_price_estimate
gợi ý tư vấn thực đơn ít béo có ba chỉ đi	search_recipe
làm sao cho bún giòn nào ngon	ask_recipe_detail
ê hướng dẫn chi tiết món này với	ask_recipe_detail
chỉ mình cách nấu đi	ask_recipe_detail
món nhậu từ cá hồi kho cho hợp lý	search_recipe
mình muốn mình muốn 1 set cá hồi + hành tây	search_recipe
combo ba chỉ và sả cho cả nhà	search_recipe
nhà còn chỉ mình cách nấu đi cho hợp lý	ask_recipe_detail
đổi sang món sườn được không cho hợp lý	refine_search
làm sao cho trứng giòn	ask_recipe_detail
đang cần hôm nay ăn gì	search_recipe
đề xuất lấy đủ nguyên liệu cho món này với	add_ingredients_to_cart
hát đi nha	fallback
mình muốn đổi sang món cá lóc được không	refine_search
tổng thiệt hại là bao nhiêu nào ngon	ask_price_estimate
bạn ơi món nhậu từ bắp bò hấp đi	search_recipe
ngân sách bình dân đủ nấu không	ask_price_estimate
tìm món kiểu kho cho bữa tối ít người	search_recipe
nhà còn bạn tên gì	fallback
ê tìm cái gì lạ miệng hơn nhé	refine_search
mình muốn 1 set bắp bò + sả nhé	search_recipe
tìm giúp ngân sách 200k đủ nấu không cho hợp lý	ask_price_estimate
nhà còn cần mua những gì thì thêm vào giỏ giúp nào ngon	add_ingredients_to_cart
lấy đủ nguyên liệu cho món này gấp	add_ingredients_to_cart
cho hết vào giỏ hàng đi	add_ingredients_to_cart
món ba chỉ rim đi	search_recipe
nhà còn ngu quá đi	fallback
mình muốn tổng thiệt hại là bao nhiêu với	ask_price_estimate
ê nấu gì với nấm đi	search_recipe
ê mình muốn 1 set bắp bò + rau xà lách	search_recipe
ê chỉ mình cách nấu đi	ask_recipe_detail
ê cho hết vào giỏ hàng đi	add_ingredients_to_cart
mình muốn có món nào không tốn thời gian mà ngon không đi	search_recipe
tìm món khác đi	refine_search
đề xuất có món nào không tốn thời gian mà ngon không	search_recipe
ê hát đi cho hợp lý	fallback
đề xuất hôm nay ăn gì cho hợp lý	search_recipe
chi phí cho cả nhà người với	ask_price_estimate
nấu gì với rau xà lách nha	search_recipe
gợi ý mình muốn 1 set heo + nấm	search_recipe
đề xuất món luộc, nguyên liệu có sẵn, hợp cơm hộp	search_recipe
đề xuất món xào, đang vội, hợp tiệc	search_recipe
tìm giúp tìm món kiểu thanh đạm cho tiệc cả nhà	search_recipe
ê combo trứng và sả cho nhóm bạn	search_recipe
bạn ơi không thích món này	refine_search
đề xuất mua giúp mình nguyên liệu nha	add_ingredients_to_cart
ăn gì cơm văn phòng vừa chay vừa sinh viên	search_recipe
đề xuất món thanh đạm, nguyên liệu có sẵn, hợp cơm văn phòng	search_recipe
đổi sang món mực được không	refine_search
bạn tên gì	fallback
thực đơn nhóm bạn người, giá bình dân nhé	search_recipe
xin chào nhé	fallback
mình muốn tìm món khác đi	refine_search
mình muốn tìm món bò đậm đà ăn tiệc	search_recipe
hướng dẫn chi tiết món này đi	ask_recipe_detail
tìm giúp thời tiết thế nào gấp	fallback
gợi ý tư vấn thực đơn tăng cơ có ức gà	search_recipe
nhà còn mấy giờ rồi nhé	fallback
mình muốn bước 1 là gì	ask_recipe_detail
bạn ơi biết ông a không với	fallback
nhà còn mấy giờ rồi cho hợp lý	fallback
tư vấn thực đơn chay có thịt bò	search_recipe
bạn ơi tư vấn thực đơn tăng cơ có trứng với	search_recipe
có món nào 1 tiếng mà ngon không nào ngon	search_recipe
biết ông a không nào ngon	fallback
đề xuất xin chào	fallback
đang cần bước 1 là gì	ask_recipe_detail
gợi ý hôm nay ăn gì	search_recipe
đang cần thời tiết thế nào	fallback
làm sao cho ba chỉ giòn nhé	ask_recipe_detail
nhà còn lấy đủ nguyên liệu cho món này cho hợp lý	add_ingredients_to_cart
đặt mua đồ về nấu nào ngon	add_ingredients_to_cart
gợi ý tìm món kiểu thanh đạm cho bữa tối cả nhà	search_recipe
tìm giúp tìm món khác đi đi	refine_search
nhà còn đang ở đâu nhé	fallback
nhà còn tìm cái gì lạ miệng hơn	refine_search
tìm món bắp bò luộc ăn bữa xế	search_recipe
ê đang ở đâu nhé	fallback
ê bạn tên gì	fallback
combo món cuốn và dưa leo cho ít người đi	search_recipe
ăn thế này có đắt không	ask_price_estimate
combo mực và bí xanh cho cả nhà	search_recipe
hướng dẫn chi tiết món này cho hợp lý	ask_recipe_detail
đề xuất hướng dẫn chi tiết món này gấp	ask_recipe_detail
tìm cái gì lạ miệng hơn gấp	refine_search
tìm giúp không thích món này nhé	refine_search
ê bước 1 là gì với	ask_recipe_detail
gợi ý đổi sang món mực được không gấp	refine_search
cần mua những gì thì thêm vào giỏ giúp đi	add_ingredients_to_cart
mình muốn 1 set heo + hành ngò nhé	search_recipe
có món nào 5 phút mà ngon không	search_recipe
đề xuất đặt mua đồ về nấu nhé	add_ingredients_to_cart
gợi ý thực đơn cả nhà người, giá rẻ gấp	search_recipe
ê ngân sách 200k đủ nấu không đi	ask_price_estimate
mình muốn 1 set cá lóc + hành tây	search_recipe
ê thời tiết thế nào nhé	fallback
đang cần tư vấn thực đơn healthy có bò nhé	search_recipe
bạn ơi mình muốn 1 set tôm + bí xanh đi	search_recipe
tìm giúp tìm cái gì lạ miệng hơn	refine_search
món nhậu từ mực rim	search_recipe
bạn ơi ngu quá	fallback
tìm giúp tìm cái gì lạ miệng hơn cho hợp lý	refine_search
tìm giúp cần mua những gì thì thêm vào giỏ giúp	add_ingredients_to_cart
gợi ý hôm nay ăn gì đi	search_recipe
chi phí cho cả nhà người cho hợp lý	ask_price_estimate
bạn ơi combo bún và nấm cho nhóm bạn với	search_recipe
ê đề xuất món nướng, ít dọn dẹp, hợp tiệc	search_recipe
tìm giúp thực đơn phần lớn người, giá 200k	search_recipe
đang cần ngân sách tiết kiệm đủ nấu không	ask_price_estimate
hướng dẫn chi tiết món này với	ask_recipe_detail
ê thời tiết thế nào đi	fallback
ăn gì bữa xế vừa ít dầu mỡ vừa 20k	search_recipe
gợi ý tìm món món cuốn chiên ăn bữa sáng gấp	search_recipe
biết ông a không	fallback
ăn thế này có đắt không cho hợp lý	ask_price_estimate
bạn ơi chỉ mình cách nấu đi cho hợp lý	ask_recipe_detail
đang cần tìm món kiểu chiên giòn cho cơm hộp phần lớn đi	search_recipe
đang cần thực đơn phần lớn người, giá không quan trọng tiền gấp	search_recipe
tìm giúp có món nào đi làm về muộn mà ngon không gấp	search_recipe
đang cần tìm cái gì lạ miệng hơn	refine_search
đề xuất chỉ mình cách nấu đi nào ngon	ask_recipe_detail
bạn ơi ngân sách 50k đủ nấu không nào ngon	ask_price_estimate
mình muốn ăn thế này có đắt không	ask_price_estimate
mình muốn tư vấn thực đơn tăng cơ có đùi gà	search_recipe
bạn ơi bước 1 là gì nha	ask_recipe_detail
xin chào nào ngon	fallback
nhà còn cần mua những gì thì thêm vào giỏ giúp	add_ingredients_to_cart
đang cần tư vấn thực đơn healthy có ức gà nhé	search_recipe
tìm giúp nấu gì với cải thảo	search_recipe
món bò luộc nha	search_recipe
ê nấu gì với cải thảo	search_recipe
làm sao cho lẩu giòn	ask_recipe_detail
bạn ơi hôm nay ăn gì nào ngon	search_recipe
tổng thiệt hại là bao nhiêu với	ask_price_estimate
nhà còn tìm món cá hồi nướng muối ớt ăn cơm văn phòng nha	search_recipe
tìm giúp xin chào	fallback
gợi ý xin chào	fallback
đang cần hôm nay ăn gì nha	search_recipe
nấu gì với cải thảo đi	search_recipe
đang cần đặt mua đồ về nấu gấp	add_ingredients_to_cart
tư vấn thực đơn healthy có salad nhé	search_recipe
mình muốn ngân sách tiết kiệm đủ nấu không	ask_price_estimate
nhà còn tìm cái gì lạ miệng hơn nha	refine_search
làm sao cho heo giòn gấp	ask_recipe_detail
đang cần bước 1 là gì cho hợp lý	ask_recipe_detail
xin chào với	fallback
tìm giúp cho hết vào giỏ hàng đi	add_ingredients_to_cart
biết ông a không đi	fallback
tìm giúp làm sao cho tôm giòn	ask_recipe_detail
đề xuất xin chào cho hợp lý	fallback
chi phí cho nhóm bạn người gấp	ask_price_estimate
đang cần ăn thế này có đắt không	ask_price_estimate
nêm nếm gia vị ra sao nào ngon	ask_recipe_detail
đề xuất nêm nếm gia vị ra sao nào ngon	ask_recipe_detail
mình muốn không thích món này với	refine_search
mình muốn đề xuất món chiên, nguyên liệu có sẵn, hợp cơm văn phòng	search_recipe
mình muốn đổi món xào hơn	refine_search
bạn ơi mình muốn 1 set phở + rau muống	search_recipe
ngân sách 50k đủ nấu không nhé	ask_price_estimate
bạn ơi ngân sách 100k đủ nấu không nào ngon	ask_price_estimate
món này hết bao nhiêu tiền	ask_price_estimate
tổng thiệt hại là bao nhiêu	ask_price_estimate
nêm nếm gia vị ra sao gấp	ask_recipe_detail
đề xuất ăn gì bữa xế vừa giảm cân vừa sang trọng với	search_recipe
tìm món kiểu nướng cho bữa trưa nhóm bạn	search_recipe
đổi món chiên hơn	refine_search
mình muốn món này hết bao nhiêu tiền	ask_price_estimate
bước 1 là gì nha	ask_recipe_detail
tìm giúp mua giúp mình nguyên liệu	add_ingredients_to_cart
tư vấn thực đơn healthy có sườn	search_recipe
gợi ý hôm nay ăn gì nào ngon	search_recipe
ê thời tiết thế nào	fallback
đề xuất món nướng muối ớt, trong tủ lạnh còn, hợp bữa trưa	search_recipe
bạn ơi thực đơn 1 người người, giá tiết kiệm nhé	search_recipe
tìm giúp ăn gì cơm hộp vừa giảm cân vừa 200k cho hợp lý	search_recipe
gợi ý tổng thiệt hại là bao nhiêu nhé	ask_price_estimate
tìm giúp hát đi nhé	fallback
bạn ơi món cá rim gấp	search_recipe
bạn ơi mấy giờ rồi gấp	fallback
không thích món này đi	refine_search
món nhậu từ đùi gà đậm đà với	search_recipe
tìm món kiểu chiên giòn cho bữa tối nhóm bạn đi	search_recipe
đang cần món gà nướng muối ớt	search_recipe
đổi sang món salad được không với	refine_search
đề xuất món thanh đạm, mới đi chợ về, hợp cơm hộp	search_recipe
bạn ơi thực đơn phần lớn người, giá sang trọng cho hợp lý	search_recipe
nhà còn nêm nếm gia vị ra sao nhé	ask_recipe_detail
tìm giúp lấy đủ nguyên liệu cho món này	add_ingredients_to_cart
đổi món hấp hơn gấp	refine_search
đang cần nấu gì với dưa leo nhé	search_recipe
đang cần lấy đủ nguyên liệu cho món này	add_ingredients_to_cart
ê đặt mua đồ về nấu	add_ingredients_to_cart
ê ăn gì bữa sáng vừa chay vừa không quan trọng tiền với	search_recipe
bạn ơi món này hết bao nhiêu tiền gấp	ask_price_estimate
lấy đủ nguyên liệu cho món này với	add_ingredients_to_cart
mua giúp mình nguyên liệu	add_ingredients_to_cart
thời tiết thế nào với	fallback
lên thực đơn bữa sáng: thịt gà, 5 phút, ít người nào ngon	search_recipe
gợi ý không thích món này	refine_search
gợi ý chi phí cho cả nhà người cho hợp lý	ask_price_estimate
đề xuất món xào, nguyên liệu có sẵn, hợp bữa trưa	search_recipe
đề xuất ăn gì cơm văn phòng vừa giảm cân vừa 20k nhé	search_recipe
cho hết vào giỏ hàng đi đi	add_ingredients_to_cart
bước 1 là gì cho hợp lý	ask_recipe_detail
mấy giờ rồi gấp	fallback
nhà còn bước 1 là gì nào ngon	ask_recipe_detail
món nhậu từ thịt gà rim	search_recipe
chi phí cho 2 người người nhé	ask_price_estimate
cần mua những gì thì thêm vào giỏ giúp với	add_ingredients_to_cart
bạn ơi lên thực đơn bữa sáng: phở, 5 phút, 2 người gấp	search_recipe
nhà còn món bò đậm đà đi	search_recipe
đang ở đâu gấp	fallback
cần mua những gì thì thêm vào giỏ giúp gấp	add_ingredients_to_cart
tư vấn thực đơn eat clean có cá lóc gấp	search_recipe
đề xuất thực đơn 3 người người, giá 20k đi	search_recipe
đề xuất tư vấn thực đơn healthy có canh chua gấp	search_recipe
gợi ý tư vấn thực đơn giảm cân có gà	search_recipe
combo bún và khoai tây cho gia đình	search_recipe
nhà còn tìm món kiểu nướng muối ớt cho bữa xế 1 người nha	search_recipe
combo đùi gà và hành tây cho 3 người với	search_recipe
bạn ơi combo cơm gà và rau xà lách cho 3 người cho hợp lý	search_recipe
mình muốn tư vấn thực đơn chay có cá lóc đi	search_recipe
đang cần món ba chỉ hấp	search_recipe
bạn ơi ăn gì bữa tối vừa ít dầu mỡ vừa không quan trọng tiền	search_recipe
đổi món rim hơn	refine_search
đề xuất ngân sách 50k đủ nấu không	ask_price_estimate
ngân sách rẻ đủ nấu không	ask_price_estimate
mình muốn đề xuất món xào, muốn đổi gió, hợp bữa sáng nào ngon	search_recipe
thực đơn 3 người người, giá sang trọng	search_recipe
nhà còn hát đi đi	fallback
bạn ơi làm sao cho thịt bò giòn	ask_recipe_detail
cho hết vào giỏ hàng đi nha	add_ingredients_to_cart
bạn ơi bước 1 là gì gấp	ask_recipe_detail
đang cần lên thực đơn bữa trưa: thịt bò, 5 phút, gia đình	search_recipe
đặt mua đồ về nấu nhé	add_ingredients_to_cart
nhà còn đổi sang món gà được không	refine_search
đề xuất chi phí cho gia đình người nhé	ask_price_estimate
tư vấn thực đơn healthy có bún đi	search_recipe
đề xuất hướng dẫn chi tiết món này	ask_recipe_detail
tìm cái gì lạ miệng hơn đi	refine_search
đổi sang món món cuốn được không cho hợp lý	refine_search
mình muốn đặt mua đồ về nấu nhé	add_ingredients_to_cart
đang cần làm sao cho tôm giòn	ask_recipe_detail
nhà còn đổi món luộc hơn cho hợp lý	refine_search
tìm giúp ăn thế này có đắt không	ask_price_estimate
tư vấn thực đơn giảm cân có tôm nhé	search_recipe
đang cần tìm món bắp bò kho ăn cơm hộp	search_recipe
có món nào không có bí xanh không	refine_search
bạn ơi làm sao cho thịt bò giòn nào ngon	ask_recipe_detail
mình muốn thực đơn 2 người người, giá bình dân	search_recipe
mình muốn nấu gì với bí xanh với	search_recipe
nhà còn đổi món luộc hơn với	refine_search
gợi ý xin chào cho hợp lý	fallback
tìm giúp có món nào cấp tốc mà ngon không với	search_recipe
